date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:06	228773/228773	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:09%20GMT	https://bio.link/campaign/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/campaign/index.html	(from https://bio.link/wojtoteka)
21:04:07	136/136	---M--	302	error ('Moved%20Temporarily')	text/html	date:Wed,%2004%20Sep%202024%2019:04:09%20GMT	https://www.tiktok.com/embed.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/www.tiktok.com/embed.c.delayed	(from https://bio.link/wojtoteka)
21:04:07	40470/40470	---M-Z	200	added ('OK')	application/javascript	etag:b2f83e35-5705-4835-962f-dbe0d55871a0	https://sf16-website-login.neutral.ttwstatic.com/obj/tiktok_web_login_static/tiktok/falcon/embed/embed_v1.0.12.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/sf16-website-login.neutral.ttwstatic.com/obj/tiktok_web_login_static/tiktok/falcon/embed/embed_v1.0.12.js	(from https://bio.link/wojtoteka)
21:04:08	228827/228827	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:10%20GMT	https://bio.link/get	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/get-2.html	(from https://bio.link/wojtoteka)
21:04:08	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:10%20GMT	https://bio.link/post	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/post	(from https://bio.link/wojtoteka)
21:04:08	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:10%20GMT	https://bio.link/user/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/user/index.html	(from https://bio.link/wojtoteka)
21:04:08	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:10%20GMT	https://bio.link/u/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/u/index.html	(from https://bio.link/wojtoteka)
21:04:09	217086/217086	---M--	200	added ('OK')	image/jpeg	etag:%226bb081de8c9db16c0ac16dd11d8aff8e%22	https://cdn.bio.link/og-image-min.jpg	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/og-image-min.jpg	(from https://bio.link/)
21:04:09	226209/226209	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:11%20GMT	https://bio.link/form/	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/form/index.html	(from https://bio.link/wojtoteka)
21:04:09	15406/15406	---MCZ	200	added ('OK')	image/x-icon	etag:W/%2264e599b3-3c2e%22	https://bio.link/favicon.ico	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/favicon.ico	(from https://bio.link/)
21:04:09	26140/26140	---M--	200	added ('OK')	image/png	etag:%2264e599b3-661c%22	https://bio.link/apple-touch-icon.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/apple-touch-icon.png	(from https://bio.link/)
21:04:09	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2004%20Sep%202024%2019:04:11%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/https___bio.link_wojtoteka/www.googletagmanager.com/gtm.135445.delayed	(from https://bio.link/)
21:04:09	3005/3005	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-bbd%22	https://bio.link/_nuxt/4726e05.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/4726e05.js	(from https://bio.link/)
21:04:10	190195/190195	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-2e6f3%22	https://bio.link/_nuxt/eca3caf.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/eca3caf.js	(from https://bio.link/)
21:04:10	23078/23078	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-5a26%22	https://bio.link/_nuxt/bc346eb.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/bc346eb.js	(from https://bio.link/)
21:04:10	130336/130336	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-1fd20%22	https://bio.link/_nuxt/e4fdec3.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/e4fdec3.js	(from https://bio.link/)
21:04:10	60990/60990	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-ee3e%22	https://bio.link/_nuxt/e3bebc1.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/e3bebc1.js	(from https://bio.link/)
21:04:10	25654/25654	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-6436%22	https://bio.link/_nuxt/fc8a63b.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fc8a63b.js	(from https://bio.link/)
21:04:11	294072/294072	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-47cb8%22	https://bio.link/_nuxt/fonts/Inter-ExtraBold.55189dd.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-ExtraBold.55189dd.ttf	(from https://bio.link/)
21:04:11	294396/294396	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-47dfc%22	https://bio.link/_nuxt/fonts/Inter-Black.54c4088.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-Black.54c4088.ttf	(from https://bio.link/)
21:04:12	293448/293448	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-47a48%22	https://bio.link/_nuxt/fonts/Inter-Bold.3e3cb90.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-Bold.3e3cb90.ttf	(from https://bio.link/)
21:04:12	287928/287928	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-464b8%22	https://bio.link/_nuxt/fonts/Inter-Regular.9cd7588.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-Regular.9cd7588.ttf	(from https://bio.link/)
21:04:12	293028/293028	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-478a4%22	https://bio.link/_nuxt/fonts/Inter-SemiBold.c6588ec.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-SemiBold.c6588ec.ttf	(from https://bio.link/)
21:04:13	288088/288088	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-46558%22	https://bio.link/_nuxt/fonts/Inter-Light.e7dd139.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-Light.e7dd139.ttf	(from https://bio.link/)
21:04:13	288400/288400	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-46690%22	https://bio.link/_nuxt/fonts/Inter-ExtraLight.19c859e.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-ExtraLight.19c859e.ttf	(from https://bio.link/)
21:04:13	288568/288568	---M--	200	added ('OK')	application/octet-stream	etag:%2265d2f858-46738%22	https://bio.link/_nuxt/fonts/Inter-Thin.dbd1349.ttf	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/fonts/Inter-Thin.dbd1349.ttf	(from https://bio.link/)
21:04:13	607153/607153	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2017:58:06%20GMT	https://bio.link/features	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/features.html	(from https://bio.link/)
21:04:14	77162/77162	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2018:30:49%20GMT	https://bio.link/faq	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/faq.html	(from https://bio.link/)
21:04:14	189204/189204	---M--	200	added ('OK')	image/png	etag:%22a64f6afa1b19b521e9584320f1be8808%22	https://cdn.bio.link/landing/top-animations/theme-1.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-1.png	(from https://bio.link/)
21:04:14	59759/59759	---M--	200	added ('OK')	image/png	etag:%22bf321775e257f63070c9f661a0be9134%22	https://cdn.bio.link/landing/top-animations/theme-1-embed.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-1-embed.png	(from https://bio.link/)
21:04:14	3679/3679	---M--	200	added ('OK')	image/png	etag:%2240c9917285982a3fdbea916173c0fcdd%22	https://cdn.bio.link/landing/top-animations/theme-1-socials.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-1-socials.png	(from https://bio.link/)
21:04:14	194535/194535	---M--	200	added ('OK')	image/png	etag:%22a09435cf7e4b8c30359db7f4b87372a9%22	https://cdn.bio.link/landing/top-animations/theme-3.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-3.png	(from https://bio.link/)
21:04:14	37640/37640	---M--	200	added ('OK')	image/png	etag:%22e8079eb1f9c6717f0db359be24246f3c%22	https://cdn.bio.link/landing/top-animations/theme-3-embed.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-3-embed.png	(from https://bio.link/)
21:04:15	3587/3587	---M--	200	added ('OK')	image/png	etag:%22c24c3f0aa0159a4ee07c4485654ae2d7%22	https://cdn.bio.link/landing/top-animations/theme-3-socials.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-3-socials.png	(from https://bio.link/)
21:04:15	222741/222741	---M--	200	added ('OK')	image/png	etag:%2223b3419fe0b1e47b066829b15c474c55%22	https://cdn.bio.link/landing/top-animations/theme-2.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-2.png	(from https://bio.link/)
21:04:15	100875/100875	---M--	200	added ('OK')	image/png	etag:%22f66623dd22a7941971c52b0f6d4f77eb%22	https://cdn.bio.link/landing/top-animations/theme-2-embed.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-2-embed.png	(from https://bio.link/)
21:04:15	3680/3680	---M--	200	added ('OK')	image/png	etag:%22c0c97f4365323d68e58e01d854e49050%22	https://cdn.bio.link/landing/top-animations/theme-2-socials.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-2-socials.png	(from https://bio.link/)
21:04:16	64879/64879	---M--	200	added ('OK')	image/png	etag:%22af59fd384ca6347018acef45e8799980%22	https://cdn.bio.link/landing/top-animations/theme-4.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-4.png	(from https://bio.link/)
21:04:16	43543/43543	---M--	200	added ('OK')	image/png	etag:%221fc31f8c405a69e6f93fb0adf68b9d34%22	https://cdn.bio.link/landing/top-animations/theme-4-embed.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-4-embed.png	(from https://bio.link/)
21:04:16	3527/3527	---M--	200	added ('OK')	image/png	etag:%2258a9abe3fc466ce0da2514645024a7ea%22	https://cdn.bio.link/landing/top-animations/theme-4-socials.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/top-animations/theme-4-socials.png	(from https://bio.link/)
21:04:16	152263/152263	---M--	200	added ('OK')	image/png	etag:%22a17bb2820c65c8d629b79586b386b653%22	https://cdn.bio.link/landing/new-features/themes.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/new-features/themes.png	(from https://bio.link/)
21:04:17	148681/148681	---M--	200	added ('OK')	image/png	etag:%22635ebdc00d06ab26e32ff0cef07fc192%22	https://cdn.bio.link/landing/new-features/embed-apps.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/new-features/embed-apps.png	(from https://bio.link/)
21:04:17	61757/61757	---M--	200	added ('OK')	image/png	etag:%22a2a9e2598fdf3c8b7b2b5877e2d59ab2%22	https://cdn.bio.link/landing/new-features/stats.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/new-features/stats.png	(from https://bio.link/)
21:04:17	97304/97304	---M--	200	added ('OK')	image/png	etag:%224cd5185cdf4bf76ae797df62aa997c8e%22	https://cdn.bio.link/landing/feature/extras/speed.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/speed.png	(from https://bio.link/)
21:04:17	96050/96050	---M--	200	added ('OK')	image/png	etag:%22d25b0a32abba3caaadf3935b0ca22a13%22	https://cdn.bio.link/landing/feature/extras/custom-theme.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/custom-theme.png	(from https://bio.link/)
21:04:17	87021/87021	---M--	200	added ('OK')	image/png	etag:%22ce79991da7206ec6fea1e143236d42c5%22	https://cdn.bio.link/landing/feature/extras/mobile-app.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/mobile-app.png	(from https://bio.link/)
21:04:18	82716/82716	---M--	200	added ('OK')	image/png	etag:%222e0c63be143b387fc8feae3aa30e7a39%22	https://cdn.bio.link/landing/feature/extras/seo-optimized.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/seo-optimized.png	(from https://bio.link/)
21:04:18	83047/83047	---M--	200	added ('OK')	image/png	etag:%22d03423861ea35326dac91bf10f207d12%22	https://cdn.bio.link/landing/feature/extras/unlimited-visitors.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/unlimited-visitors.png	(from https://bio.link/)
21:04:18	139808/139808	---M--	200	added ('OK')	image/png	etag:%22806513d9e82f31f6df49a51a1f0abfa1%22	https://cdn.bio.link/landing/feature/extras/qr-code.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/extras/qr-code.png	(from https://bio.link/)
21:04:19	94478/94478	---M--	200	added ('OK')	image/png	etag:%221b7859a32aed143451945e29f3d70be2%22	https://cdn.bio.link/landing/feature/multiple-sites.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/multiple-sites.png	(from https://bio.link/)
21:04:19	77626/77626	---M--	200	added ('OK')	image/png	etag:%22529bc02b14532c2ad726b395310d0c70%22	https://cdn.bio.link/landing/feature/custom-domains.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/custom-domains.png	(from https://bio.link/)
21:04:19	68262/68262	---M--	200	added ('OK')	image/png	etag:%22958234223d040e1d3aefd8b2b53fda00%22	https://cdn.bio.link/landing/feature/email-subscribers.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/email-subscribers.png	(from https://bio.link/)
21:04:19	58794/58794	---M--	200	added ('OK')	image/png	etag:%22713ca28a683bfcf994d2a7cab108a5f6%22	https://cdn.bio.link/landing/feature/blog-posts.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/feature/blog-posts.png	(from https://bio.link/)
21:04:20	276565/276565	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2017:23:10%20GMT	https://bio.link/austinarcher	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/austinarcher.html	(from https://bio.link/)
21:04:20	237486/237486	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2017:58:35%20GMT	https://bio.link/acmilan	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/acmilan.html	(from https://bio.link/)
21:04:20	49518/49518	---M--	200	added ('OK')	image/jpeg	etag:%22465c35185fb1f3379045400af9e1f6a7%22	https://cdn.bio.link/landing/user_2.jpg	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/user_2.jpg	(from https://bio.link/)
21:04:21	244933/244933	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2018:31:00%20GMT	https://bio.link/jo_franco	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/jo_franco.html	(from https://bio.link/)
21:04:21	21562/21562	---M--	200	added ('OK')	image/jpeg	etag:%229c58088e9347ab0867681215a09cf016%22	https://cdn.bio.link/landing/user-3_1.jpeg	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/user-3_1.jpg	(from https://bio.link/)
21:04:22	238460/238460	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2018:15:58%20GMT	https://bio.link/padrepauloricardo	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/padrepauloricardo.html	(from https://bio.link/)
21:04:22	107010/107010	---M--	200	added ('OK')	image/png	etag:%226df74c4fb54b057816cfb21393f84160%22	https://cdn.bio.link/landing/user-4.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/user-4.png	(from https://bio.link/)
21:04:22	131908/131908	---M--	200	added ('OK')	image/png	etag:%22cca96dc12393420936bfa0e28ae8c904%22	https://cdn.bio.link/landing/user_5_new.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/user_5_new.png	(from https://bio.link/)
21:04:23	4080/4080	---M--	200	added ('OK')	image/png	etag:%2265d8a50b5e73cb44d7bfdefa5cd7d23c%22	https://cdn.bio.link/landing/google-play.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/google-play.png	(from https://bio.link/)
21:04:23	4368/4368	---M--	200	added ('OK')	image/png	etag:%228ec67b96f77f61d2735c958fc5161faa%22	https://cdn.bio.link/landing/app-store.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/landing/app-store.png	(from https://bio.link/)
21:04:23	232679/232679	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2018:31:07%20GMT	https://bio.link/biodotlink	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/biodotlink.html	(from https://bio.link/)
21:04:23	58974/58974	---M--	200	added ('OK')	image/png	etag:%22095c40caf516cedea414444c536d167f%22	https://cdn.bio.link/uploads/profile_pictures/2023-07-26/gis9i7enx5SZ7XrdlCIfn9wmYxrjH9tn.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/profile_pictures/2023-07-26/gis9i7enx5SZ7XrdlCIfn9wmYxrjH9tn.png	(from https://bio.link/campaign/)
21:04:24	228773/228773	---MCZ	200	added ('OK')	text/html	date:Wed,%2004%20Sep%202024%2019:04:26%20GMT	https://bio.link/campaign	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/campaign.html	(from https://bio.link/campaign/)
21:04:24	7547/7547	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:26%20GMT	https://bio.link/campaign/GET	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/campaign/GET.4a.delayed	(from https://bio.link/campaign/)
21:04:24	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:27%20GMT	https://bio.link/campaign/get	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/campaign/get	(from https://bio.link/campaign/)
21:04:25	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:27%20GMT	https://bio.link/campaign/post	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/campaign/post	(from https://bio.link/campaign/)
21:04:25	19370/19370	---M--	200	added ('OK')	image/png	etag:%222dcd000e7512726632451194601e137b%22	https://cdn.bio.link/uploads/profile_pictures/2021-07-26/tRu9S0IdaTZ1o2p16EA1BVgaL2DmmZtk.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/profile_pictures/2021-07-26/tRu9S0IdaTZ1o2p16EA1BVgaL2DmmZtk.png	(from https://bio.link/GET)
21:04:25	5128/5128	---M--	200	added ('OK')	image/png	etag:%22507988ee53b7ca62797bf041edf5f721%22	https://cdn.bio.link/uploads/thumbnails/2021-07-26/qQwY02hPzZSa7m8Y37Am6QyMyqxlAlXt.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/thumbnails/2021-07-26/qQwY02hPzZSa7m8Y37Am6QyMyqxlAlXt.png	(from https://bio.link/GET)
21:04:26	8947/8947	---M--	200	added ('OK')	image/png	etag:%220d6e870645ad5b24d7a143addb020115%22	https://cdn.bio.link/uploads/thumbnails/2021-07-26/DXBl76rHniVGQAcoJUxF1ybe8H4fUoqd.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/thumbnails/2021-07-26/DXBl76rHniVGQAcoJUxF1ybe8H4fUoqd.png	(from https://bio.link/GET)
21:04:26	14121/14121	---M--	200	added ('OK')	image/png	etag:%22d3d8023cefcd4ce20a2be4e7c755d72e%22	https://cdn.bio.link/uploads/profile_pictures/2021-09-25/5XRdVlssg15fDtZEduCQkWHsl6FovfXg.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/profile_pictures/2021-09-25/5XRdVlssg15fDtZEduCQkWHsl6FovfXg.png	(from https://bio.link/form/)
21:04:26	6319/6319	---M--	200	added ('OK')	image/png	etag:%22597bf6f8a4a89a41b4eba5aa00e57722%22	https://cdn.bio.link/uploads/thumbnails/2021-09-25/ReohTMTeVTRnkjF9wZsrhHdQf1gjXZd8.png	C:/My%20Web%20Sites/https___bio.link_wojtoteka/cdn.bio.link/uploads/thumbnails/2021-09-25/ReohTMTeVTRnkjF9wZsrhHdQf1gjXZd8.png	(from https://bio.link/form/)
21:04:27	7547/7547	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:29%20GMT	https://bio.link/form/GET	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/form/GET	(from https://bio.link/form/)
21:04:27	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:29%20GMT	https://bio.link/form/get	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/form/get	(from https://bio.link/form/)
21:04:28	198433/198433	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Sep%202024%2019:04:30%20GMT	https://bio.link/form/post	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/form/post	(from https://bio.link/form/)
21:04:28	121142/121142	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-1d936%22	https://bio.link/_nuxt/4910178.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/4910178.js	(from https://bio.link/features)
21:04:28	90941/90941	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265d2f858-1633d%22	https://bio.link/_nuxt/55d6d33.js	C:/My%20Web%20Sites/https___bio.link_wojtoteka/bio.link/_nuxt/55d6d33.js	(from https://bio.link/features)
